#FE1 FE2, chipID0 chipID5, ch16 ch26

ch1 1040
ch2 1210

pngName FE1-FE2_chipID0-chipID5_ch1040-ch1210.png

#runRange	thr	tune	OV
22142-22217     ith2_0	0.05    1.0,3.0
22220-22291     ith2_0	0.02    1.0,3.0
22292-22363     ith2_0	0.01    1.0,3.0
22364-22435     ith2_0	0.01    1.0,3.0
22436-22507     ith2_0	0.03    1.0,3.0
22510-22581     ith2_0	0.04    1.0,3.0
22582-22653     ith2_0	0.10    1.0,3.0
22654-22729     ith2_0	0.20    1.0,3.0
22730-22802     ith2_0	0.30    1.0,3.0
22953-23024     ith2_0	0.40    1.0,3.0
23025-23096     ith2_0	0.50    1.0,3.0
23098-23169     ith2_0	0.60    1.0,3.0
23170-23241     ith2_0	0.70    1.0,3.0
23242-23309     ith2_0	0.71    1.0,3.0
23311-23374     ith2_0	0.72    1.0,3.0
23376-23437     ith2_0	0.73    1.0,3.0
23438-23489     ith2_0	0.74    1.0,3.0
23492-23541     ith2_0	0.75    1.0,3.0
23543-23563     ith2_0	0.76    1.0
23705-23740     ith2_0	0.70    1.0
23795-23830     ith2_0	0.72    1.0
23831-23866     ith2_0	0.75    1.0
23867-23887     ith2_0	0.78    1.0
23889-23900     ith2_0	0.79    1.0
23998-24033     ith2_0	0.80    3.0
24034-24057     ith2_0	0.81    3.0
24059-24070     ith2_0	0.82    3.0
24072-24107     ith2_0	0.78    3.0
24108-24143	ith2_0	0.79	3.0
24144-24168	ith2_0	0.805	3.0
24171-24212	ith2_0	0.795	3.0
24449-24484	ith2_0	0.30	5.0
24485-24520	ith2_0	0.20	5.0
24521-24556	ith2_0	0.10	5.0
24557-24592	ith2_0	0.10	5.0

