#FE1 FE3, chipID0 chipID5, ch16 ch27

ch1 1040
ch2 1211

pngName tRes_vs_SR_FE1-FE3_chipID0-chipID5_ch1040-ch1211.png

#runRange	thr	tune	OV
4053-4176	ith2_0	0.10	0.7,1.0,2.0,3.0
4177-4269	ith2_0	0.05	0.7,2.0,3.0
4282-4308	ith2_0	0.85	4.0,5.0
4310-4349	ith2_0	0.82	3.0,4.0,5.0
4350-4561	ith2_0	0.78	0.7,1.0,2.0,3.0
4564-4687	ith2_0	0.75	0.7,1.0,2.0,3.0
2318-2348	ith2_0  0.50    1.0
2349-2379	ith2_0  0.60    1.0
2380-2410	ith2_0  0.70    1.0
2411-2423	ith2_0  0.80    1.0
2426-2456	ith2_0  0.75    1.0
2457-2487	ith2_0  0.65    1.0
2488-2518	ith2_0  0.40    1.0
2519-2549	ith2_0  0.30    1.0
2550-2578	ith2_0  0.20    1.0
2581-2611	ith2_0  0.05    1.0
2612-2642	ith2_0  0.50    1.5
2643-2673	ith2_0  0.30    1.5
2674-2704	ith2_0  0.10    1.5
2705-2765	ith2_0  0.10    2.0,2.5,3.0
2773-2803	ith2_0  0.50    0.7
2804-2835	ith2_0  0.70    0.7
2836-2959	ith2_0  0.70    2.0,3.0,4.0,5.0
2960-2990	ith2_0  0.70    1.0
2994-3124	ith2_0  0.80    2.0,3.0,4.0,5.0
3133-3295	ith2_0  0.60    0.7,2.0,3.0,4.0,5.0
3296-3424       ith2_0  0.50    2.0,3.0,4.0,5.0
3425-3579       ith2_0  0.40    0.7,2.0,3.0,4.0,5.0
3580-3753       ith2_0  0.30    0.7,2.0,3.0,4.0,5.0
3756-3879       ith2_0  0.20    0.7,2.0,3.0,4.0,5.0
4053-4176       ith2_0  0.10    0.7,1.0,2.0,3.0
4177-4269       ith2_0  0.05    0.7,2.0,3.0
4282-4308       ith2_0  0.85    4.0,5.0
4310-4349       ith2_0  0.82    3.0,4.0,5.0
4350-4561       ith2_0  0.78    0.7,1.0,2.0,3.0,4.0,5.0
4564-4687       ith2_0  0.75    0.7,2.0,3.0,4.0,5.0
